product_ID,product_name,EOQ,ROP,Safety_Stock
10001,Instant Pot,179.85142625801694,330499.011479966,147652.01147996596
10013,Multi-Functional Rice Cooker,1852.0748355779785,1992043.6818255186,173511.68182551858
10028,Personal Blender,358.7639399490619,423621.9313027761,96660.9313027761
10050,Electric Rice Cooker,463.1196532959006,1887124.6518472503,151126.6518472503
10061,Air Fryer Oven,1415.7492893020644,2746689.857148696,170493.85714869614
10087,Eco-Friendly Beeswax Wraps,536.4413650037797,1901476.5521712934,161101.5521712935
10114,Stainless Steel Straws,600.3126155200692,1123882.2,293020.19999999995
10122,Digital Food Scale,766.1763563201177,1101540.6818255186,173511.68182551858
10136,Electric Food Steamer,570.4214466840126,1293878.4294155554,111614.4294155554
10138,Snack Container Set,708.0282983375872,774533.6087742965,144093.60877429644
10151,Heart-Shaped Baking Molds,2643.2933565306666,857009.5678899464,101889.56788994643
10160,Electric Food Slicer,755.3374502960742,2818794.644123333,167421.64412333313
10183,Digital Meat Thermometer,483.0350113420751,1188866.6518472503,151126.6518472503
10206,Tea Set with Infuser,710.0887645395915,734699.5678899464,101889.56788994643
10227,Oven Mitts with Pocket,1583.7003307621305,1917367.2,136699.19999999998
10249,Snap-On Tupperware Set,481.6733506592603,1071723.981382087,116171.98138208713
10295,Non-Stick Grill Pan,680.989666950032,111199.3104342587,32220.3104342587
10308,Personal Blender with Travel Lid,984.9611779817864,1081031.981382087,116171.98138208713
10324,Electric Ice Cream Maker,3261.316130427176,1749093.6087742965,144093.60877429644
10335,Recipe Book Stand,1075.6395068965494,509654.77914493403,167576.77914493403
10339,Mini Electric Kettle,566.3272484255161,1138894.6398360129,157846.63983601297
10340,Oven Thermometer,556.8860559318672,2302470.1804715395,154523.18047153958
10350,Insulated Coffee Mug,675.2541107745245,302991.80438714824,72046.80438714822
10365,Bamboo Cutting Board Set,587.8356333685091,912367.011479966,147652.01147996596
10366,Mini Fondue Set,553.9472563324736,2327151.5521712936,161101.5521712935
10378,Eco-Friendly Stainless Steel Straws,799.4029201282543,1934110.6398360129,157846.63983601297
10385,Electric Pressure Cooker,460.75008398304857,1134301.5521712934,161101.5521712935
10396,Electric Meat Grinder,931.4323742424485,1997902.6398360129,157846.63983601297
10411,Cold Brew Coffee Maker,440.2127287503285,1047334.011479966,147652.01147996596
10435,Stainless Steel Travel Mug,509.8635951566922,1485843.7432106393,132847.74321063946
10437,Silicone Baking Mat,643.4239276398263,721113.9813820871,116171.98138208713
10447,Digital Kitchen Timer,623.2677779044781,1003482.1698596221,290818.1698596221
10459,Kitchen Knife Sharpening System,548.4687423198963,1324298.6518472503,151126.6518472503
10471,Electric Griddle,663.530727360157,2327608.6518472503,151126.6518472503
11002,Wrap Jumpsuit,440.67747588538197,715291.3625404936,120557.36254049356
12003,Spinach and Ricotta Ravioli,460.5172454694967,1388428.6518472503,151126.6518472503
12059,Sesame Garlic Noodles,39.040110343850145,145987.19999999998,136699.19999999998
12475,Chickpea Pasta,669.5974276094231,231416.4,45566.4
13004,Maple Pecan Pancake Mix,390.4639587460326,159988.6208685174,64440.6208685174
13015,Maple Oatmeal,465.39417298126483,1560473.6087742965,144093.60877429644
13101,Pumpkin Waffles,1212.3851387304971,1932151.9889919045,273247.98899190454
13135,Savory Oatmeal Cups,730.541457430545,2337943.9916383023,164291.9916383023
13195,Chia Seed Pudding Mix,348.97650187506105,430401.55217129353,161101.5521712935
13223,Cranberry Orange Oatmeal,155.38744868391123,355083.1804715396,154523.18047153958
13265,Savory Oats,454.70094968354005,854066.0771124428,140445.07711244278
13268,Peanut Butter Granola,844.2270852991704,602836.8,91132.8
13315,Vanilla Almond Granola,239.07981038353927,162009.56788994643,101889.56788994643
13356,Cranberry Almond Granola,968.4299624318207,558039.5678899464,101889.56788994643
13379,Buttermilk Pancakes,1600.1139950271117,371876.8,91132.8
13454,Maple Almond Granola,480.12676140906075,467621.9285743481,85246.92857434807
13469,Apple Cinnamon Granola,487.12950297140867,1053318.725721517,124788.72572151701
14005,Egg Noodles,465.2123112605237,1701356.6518472503,151126.6518472503
14077,Lentils,1158.1786917799236,1906654.6398360129,157846.63983601297
14173,Rice Noodles,706.6901591996783,794079.7432106395,132847.74321063946
14198,Rice Pilaf Mix,265.56218944984556,900425.6818255186,173511.68182551858
15006,Luxury Bathrobe,685.849550433011,1329536.9219775656,387664.42197756557
15060,Fashionable Scarves Set,956.3594328000424,1648983.5225775528,193203.5225775529
15124,Rain Jacket,509.21949979375427,765038.4294155554,111614.4294155554
15141,Sun Protection Clothing,347.6324098697717,1425201.8571486962,170493.85714869614
15423,Fleece Lined Leggings,1154.6493828649366,467036.80438714824,72046.80438714822
16007,Reversible Comforter Set,420.0461997369393,778047.0771124428,140445.07711244278
16034,Bamboo Memory Foam Pillow,553.9979231334305,2055742.6398360129,157846.63983601297
16072,Wall Decals for Kids,174.88737157662396,222318.725721517,124788.72572151701
16073,LED Under Cabinet Lighting,409.87510034692497,387702.2495531755,39414.249553175556
16078,Adjustable Window Blind,385.397370822368,1176971.0771124428,140445.07711244278
16090,Wall-Mounted Organizer,819.0579133467342,702738.8354888918,35978.33548889178
16159,Cotton Quilted Throw Blanket,81.17846496256523,162001.2417370348,128881.2417370348
16166,Memory Foam Mattress Pad,859.9143628081595,2234226.5521712936,161101.5521712935
16177,Eco-Friendly Cleaning Cloths,823.2494406430952,1970542.6398360129,157846.63983601297
16208,Over-The-Door Shoe Organizer,1428.4999391305366,1913011.2,136699.19999999998
16211,Incense Holder,798.5611353757733,1328493.6087742965,144093.60877429644
16212,Microfiber Cleaning Cloths,444.20311350598155,1033905.1804715396,154523.18047153958
16215,LED Desk Lamp,547.2054080189887,402564.9651391664,94657.46513916638
16236,Over-the-Door Shoe Organizer,95.54675484842564,79771.80438714822,72046.80438714822
16247,Wall-Mounted Bookshelf,436.79613413015505,1115617.2417370349,128881.2417370348
16280,LED Christmas Tree Lights,445.2259846892604,762723.9313027761,96660.9313027761
16288,Bamboo Bathtub Caddy,709.580704082659,253428.6208685174,64440.6208685174
